District,Headquarter,Population,Area,Density,state
North Goa,Panaji,"817,761","1,736",471,Goa (GA)
South Goa,Margao,"639,962","1,966",326,Goa (GA)
Ahmedabad,Ahmedabad,"7,208,200","8,707",890,Gujarat (GJ)
Amreli,Amreli,"1,513,614","6,760",205,Gujarat (GJ)
Anand,Anand,"2,090,276","2,942",711,Gujarat (GJ)
Aravalli,Modasa,"1,051,746","3,217",327,Gujarat (GJ)
Banaskantha,Palanpur,"3,116,045","12,703",290,Gujarat (GJ)
Bharuch,Bharuch,"1,550,822","6,524",238,Gujarat (GJ)
Bhavnagar,Bhavnagar,"2,877,961","11,155",288,Gujarat (GJ)
Botad,Botad,"656,005","2,564",256,Gujarat (GJ)
Chhota Udepur,Chhota Udepur,"1,071,831","3,237",331,Gujarat (GJ)
Dahod,Dahod,"2,126,558","3,642",582,Gujarat (GJ)
Dang,Ahwa,"226,769","1,764",129,Gujarat (GJ)
Devbhumi Dwarka,Khambhalia,"752,484","5,684",132,Gujarat (GJ)
Gandhinagar,Gandhinagar,"1,387,478",649,660,Gujarat (GJ)
Gir Somnath,Veraval,"1,217,477","3,754",324,Gujarat (GJ)
Jamnagar,Jamnagar,"2,159,130","14,125",153,Gujarat (GJ)
Junagadh,Junagadh,"2,742,291","8,839",310,Gujarat (GJ)
Kheda,Nadiad,"2,298,934","4,215",541,Gujarat (GJ)
Kutch,Bhuj,"2,090,313","45,652",46,Gujarat (GJ)
Mahisagar,Lunavada,"994,624","2,500",398,Gujarat (GJ)
Mehsana,Mehsana,"2,027,727","4,386",462,Gujarat (GJ)
Morbi,Morbi,"960,329","4,871",197,Gujarat (GJ)
Narmada,Rajpipla,"590,379","2,749",214,Gujarat (GJ)
Navsari,Navsari,"1,330,711","2,211",602,Gujarat (GJ)
Panchmahal,Godhra,"2,388,267","5,219",458,Gujarat (GJ)
Patan,Patan,"1,342,746","5,738",234,Gujarat (GJ)
Porbandar,Porbandar,"586,062","2,294",255,Gujarat (GJ)
Rajkot,Rajkot,"3,157,676","11,203",282,Gujarat (GJ)
Sabarkantha,Himatnagar,"2,427,346","7,390",328,Gujarat (GJ)
Surat,Surat,"4,996,391","4,327",653,Gujarat (GJ)
Surendranagar,Surendranagar,"1,755,873","10,489",167,Gujarat (GJ)
Tapi,Vyara,"806,489","3,435",249,Gujarat (GJ)
Vadodara,Vadodara,"3,639,775","7,794",467,Gujarat (GJ)
Valsad,Valsad,"1,703,068","3,034",561,Gujarat (GJ)
Ambala,Ambala,"1,136,784","1,569",722,Haryana (HR)
Bhiwani,Bhiwani,"1,629,109","5,140",341,Haryana (HR)
Charkhi Dadri,Charkhi Dadri,"5,02,276",1370,367,Haryana (HR)
Faridabad,Faridabad,"1,798,954",783,"2,298",Haryana (HR)
Fatehabad,Fatehabad,"941,522","2,538",371,Haryana (HR)
Gurgaon,Gurgaon,"1,514,085","1,258","1,241",Haryana (HR)
Hissar,Hissar,"1,742,815","3,788",438,Haryana (HR)
Jhajjar,Jhajjar,"956,907","1,868",522,Haryana (HR)
Jind,Jind,"1,332,042","2,702",493,Haryana (HR)
Kaithal,Kaithal,"1,072,861","2,799",467,Haryana (HR)
Karnal,Karnal,"1,506,323","2,471",598,Haryana (HR)
Kurukshetra,Kurukshetra,"964,231","1,530",630,Haryana (HR)
Mahendragarh,Narnaul,"921,680","1,900",485,Haryana (HR)
Nuh,Nuh,"1,089,406","1,765",729,Haryana (HR)
Palwal,Palwal,"1,040,493","1,367",761,Haryana (HR)
Panchkula,Panchkula,"558,890",816,622,Haryana (HR)
Panipat,Panipat,"1,202,811","1,250",949,Haryana (HR)
